iter	Passed	Remaining
0	1	222
1	4	232
2	5	208
3	8	241
4	10	243
5	14	259
6	15	238
7	16	218
8	19	230
9	21	232
10	23	225
11	25	224
12	27	217
13	28	206
14	29	196
15	30	188
16	31	182
17	32	178
18	33	172
19	34	166
20	36	167
21	37	162
22	38	157
23	39	152
24	40	149
25	41	145
26	42	141
27	43	137
28	44	134
29	46	131
30	47	129
31	48	127
32	49	124
33	50	121
34	51	118
35	52	116
36	53	113
37	54	111
38	55	109
39	58	110
40	59	108
41	60	106
42	61	103
43	62	101
44	63	100
45	64	97
46	65	96
47	66	94
48	67	92
49	68	90
50	69	88
51	70	86
52	71	85
53	74	85
54	75	83
55	77	82
56	78	80
57	79	79
58	80	78
59	81	76
60	82	74
61	83	72
62	84	71
63	86	69
64	86	68
65	87	66
66	89	65
67	91	64
68	92	62
69	92	61
70	96	61
71	98	60
72	99	58
73	100	57
74	101	55
75	102	53
76	103	52
77	104	50
78	107	50
79	109	49
80	110	47
81	111	46
82	111	44
83	112	42
84	113	41
85	114	39
86	115	38
87	116	37
88	117	35
89	118	34
90	119	32
91	120	31
92	122	30
93	124	29
94	125	27
95	126	26
96	127	24
97	128	23
98	129	22
99	130	20
100	131	19
101	132	18
102	133	16
103	134	15
104	135	14
105	136	12
106	136	11
107	138	10
108	139	8
109	140	7
110	141	6
111	142	5
112	143	3
113	144	2
114	145	1
115	146	0
